epoch,lr,train_loss,train_psnr,train_ssim,val_loss,val_psnr,val_ssim,epoch_time_s,elapsed_min
41,1.0000000000000002e-07,63.46394991874695,36.53605031967163,0.9337159730494022,64.44208526611328,35.55791473388672,0.928235650062561,14.600577533245087,9.89020648431033
42,1.0000000000000002e-07,63.473227739334106,36.526772022247314,0.9326128885149956,64.44377136230469,35.556230545043945,0.9252033531665802,14.306096591055393,10.128657502805194
43,1.0000000000000002e-07,63.511378049850464,36.48862171173096,0.9332422316074371,64.3521499633789,35.647850036621094,0.9291281700134277,14.627546451985836,10.372468855418266
44,1.0000000000000002e-07,63.53069710731506,36.46930289268494,0.93310322239995,64.36849784851074,35.63150405883789,0.9293503165245056,14.323433015495539,10.611208387153845
45,1.0000000000000002e-07,63.53406476974487,36.46593475341797,0.9339109770953655,64.46472930908203,35.53527069091797,0.9272765815258026,13.904714621603489,10.842969149785738
46,1.0000000000000002e-07,63.47536015510559,36.52463984489441,0.9338631890714169,64.27693748474121,35.72306251525879,0.926308810710907,14.182755149900913,11.079364152004322
47,1.0000000000000002e-07,63.52080702781677,36.47919249534607,0.932971615344286,64.4809455871582,35.519052505493164,0.9261733889579773,14.545232113450766,11.321799870890876
48,1.0000000000000002e-07,63.55674934387207,36.44325041770935,0.9337723031640053,64.29351806640625,35.70648193359375,0.9267931282520294,14.164334315806627,11.557886744414766
49,1.0000000000000002e-07,63.477130651474,36.52286911010742,0.9330885857343674,64.39544677734375,35.60455513000488,0.9283196032047272,14.54631296172738,11.800341099749009
50,1.0000000000000002e-07,63.5001118183136,36.49988794326782,0.9338263906538486,64.2511978149414,35.748802185058594,0.9286292195320129,14.404672555625439,12.04043393569688
51,1.0000000000000004e-08,63.55275583267212,36.4472439289093,0.9332414865493774,64.51946258544922,35.480539321899414,0.926580011844635,14.46085211634636,12.281463760572175
52,1.0000000000000004e-08,63.50516700744629,36.49483299255371,0.9333138838410378,64.41436004638672,35.58563995361328,0.9261234104633331,14.498693279922009,12.523124957829713
53,1.0000000000000004e-08,63.54138517379761,36.45861530303955,0.9331906959414482,64.52461242675781,35.47538757324219,0.9253057241439819,14.686888713389635,12.767921410314738
54,1.0000000000000004e-08,63.4969847202301,36.50301480293274,0.9337113909423351,64.39836311340332,35.60163688659668,0.9270941913127899,14.475215468555689,13.00919024751832
55,1.0000000000000004e-08,63.5059278011322,36.49407172203064,0.9340354166924953,64.58848571777344,35.4115104675293,0.9244370758533478,14.203448720276356,13.245950306765735
56,1.0000000000000004e-08,63.59021759033203,36.40978240966797,0.932155579328537,64.29547119140625,35.704532623291016,0.9269795715808868,14.87084973230958,13.493835507705807
57,1.0000000000000004e-08,63.49563789367676,36.504361629486084,0.9342950694262981,64.28555107116699,35.71445083618164,0.92896968126297,14.346727952361107,13.73297775418808
58,1.0000000000000004e-08,63.493608236312866,36.506391286849976,0.933836754411459,64.32073020935059,35.679269790649414,0.9282358288764954,14.445342108607292,13.973748872677485
59,1.0000000000000004e-08,63.5526647567749,36.4473352432251,0.932549387216568,64.31075477600098,35.689247131347656,0.9277732968330383,14.681913651525974,14.218465597306688
60,1.0000000000000004e-08,63.53642535209656,36.46357464790344,0.9330062977969646,64.35652160644531,35.64347839355469,0.9275432825088501,14.501939188688993,14.460179801595707
61,1.0000000000000005e-09,63.468634843826294,36.531365156173706,0.9336373694241047,64.38130378723145,35.61869430541992,0.9293954372406006,14.278608549386263,14.69817334059626
62,1.0000000000000005e-09,63.44868540763855,36.55131459236145,0.9334389008581638,64.2123794555664,35.787620544433594,0.9300507307052612,14.387003805488348,14.937972655147314
63,1.0000000000000005e-09,63.474329233169556,36.525670289993286,0.9343721680343151,64.5434341430664,35.456565856933594,0.924349457025528,14.45996880531311,15.178990074060858
64,1.0000000000000005e-09,63.57342505455017,36.42657494544983,0.9333173967897892,64.41621780395508,35.58378219604492,0.9281162023544312,14.29498429223895,15.41725508409242
65,1.0000000000000005e-09,63.64580249786377,36.35419797897339,0.9323409087955952,64.37601661682129,35.623985290527344,0.9283681511878967,14.502917356789112,15.65898650654902
66,1.0000000000000005e-09,63.49549913406372,36.50450134277344,0.9325928799808025,64.58421325683594,35.41578483581543,0.9260837435722351,14.719967067241669,15.904336434230208
67,1.0000000000000005e-09,63.49377727508545,36.50622272491455,0.9334042891860008,64.47854042053223,35.52145957946777,0.925822913646698,14.353512547910213,16.14357787873596
68,1.0000000000000005e-09,63.465845584869385,36.534154653549194,0.9336784668266773,64.3974437713623,35.602556228637695,0.9268815517425537,14.537892818450928,16.385893427270155
69,1.0000000000000005e-09,63.53837537765503,36.46162486076355,0.9328710809350014,64.540283203125,35.459716796875,0.9279532432556152,14.62733981385827,16.62969828750938
70,1.0000000000000005e-09,63.52755641937256,36.47244358062744,0.93336096778512,64.4449691772461,35.55502891540527,0.9284990727901459,14.249906085431576,16.867214265652002
71,1.0000000000000006e-10,63.490437507629395,36.509562492370605,0.9335063211619854,64.49100494384766,35.508995056152344,0.9270775318145752,14.34262664616108,17.106273335715134
